"Country","uhc_.Intercept.","uhc_lag_UHC","uhc_Doctors","uhc_Nursing_Midwifery","uhc_log_gdp","daly_.Intercept.","daly_lag_dalys","daly_UHC_SCI","daly_log_gdp","prod_.Intercept.","prod_lag_prod","prod_log_dalys","prod_HALE","prod_lag_HALE"
"Benin",-40.4193318254878,1.16824804163151,-6.93196531283256,0.0391088488303154,5.28601052411229,0.0642432345570055,0.990353831354956,-0.000472862483540263,0.00538203261306348,-429.171627189013,0.436843080228303,29.1708700254077,-3.29766696959143,5.01667322398354
"Botswana",8.11167397676467,0.511323786705415,5.18940855665338,-0.0329321352489342,0.0876048553962281,3.79661034849373,0.700106651494475,-0.0106599452675824,0.0286789250985167,37.3080411544834,0.649418056667411,-2.47539065722749,-0.104744115076922,0.00727852629245608
"Burkina Faso",-180.726656475472,0.726635650885388,49.5033214299243,-8.02479210550089,28.3732550449936,-0.029229385704926,0.985527391110248,-0.000652428460180625,0.0255437120047644,-303.472792714596,-1.57296569631563,20.3250029811974,-0.398202556160484,1.98319475873097
"Burundi",-156.039617129536,0.00347468414095591,17.3473095226572,-5.62140275115374,35.1020628706783,2.78369777981955,0.816246309402839,-0.00193511966258114,-0.0903032200285073,-7.93796812835944,0.236243892370638,0.729568541005245,-0.0289807149698305,0.109797996771302
"Cabo Verde",-160.291873995347,3.74249860251135,-3.81918300537977,-2.12873454347172,4.34877058132825,-3.72208833072037,1.26213193070408,0.0013708201516363,0.0887744543396914,200.308127694506,-0.317892971928748,-11.7029561863263,-0.111287874091055,-0.829516581719533
"Cameroon",15.3147893785366,1.52320284222167,-14.5339417376364,1.51408978265,-3.50271013582059,8.95682886393241,0.468468420032997,-0.00512434604854985,-0.306991568009238,46.1410965361548,0.857711085734404,-3.05888864674044,0.0573800025875159,-0.232128543765655
"Chad",264.821256621978,2.1345467069706,-22.9502531607747,-7.53884302467665,-34.3311362748245,0.247895692674991,0.982829638948541,-0.00128510245002613,-0.00468339218822892,69.6813803419717,0.759162145463657,-4.35487570756926,0.243912826880859,-0.55626875921873
"Congo",-684.609477247199,6.14568317047032,57.9019484739015,9.67832218350626,40.7343701613011,1.35206266704135,0.891945057547681,-0.00139948703128846,-0.00944703195285201,-408.234707348012,-1.82544957796326,27.322872442422,3.89969290942439,-1.69257378774034
"Côte d'Ivoire",-315.154784257967,-0.192335026436372,6.78203681353329,-6.74648265559028,46.551375336307,-0.380715952691733,1.01887640120074,0.000295301800559347,0.0139707761679798,4.75323654202578,0.749869107791191,-0.223757519392968,0.0092974104634766,-0.00847666061281391
"Ethiopia",-33.8342337818705,0.144650571786124,-8.39457441587678,1.48802948244611,7.19596586009084,-5.28076093378663,1.38225561461046,0.0173387439024571,0.0589469334991818,291.268597556929,2.62127958666486,-19.3540065309672,0.2931049113483,-1.73402753496778
"Gambia",353.85283717588,1.45493552532467,-62.6992626402898,-2.03373767640909,-38.706207891088,0.384516875666593,0.962683066386505,-0.000478098104419387,0.00570537384051029,226.088158068506,0.629002156630844,-13.0411249501818,-0.152786985970901,-1.1809941458068
"Ghana",-65.268609887879,0.433263699681457,-4.84706783992805,0.261733101502566,10.7820997994759,1.69467979217447,0.867836385578036,-0.00152348067387904,-0.0162985863735876,59.4969919347673,0.622157742540405,-4.04959259329579,0.134828752836465,-0.316771812625301
"Guinea-Bissau",-75.9510157412492,-10.4965500962819,74.9131478844006,-18.2100695506144,72.3989857136609,-0.717268058903575,1.02559774855766,-0.000670312808645373,0.0552001275659033,55.795930626495,0.553485114843264,-3.41699564907222,-0.012958690802792,-0.230121262015022
"Kenya",-37.964633383317,-0.0280385650927092,2.41496760207859,0.839467031873982,9.70783237121991,-0.29691173804776,1.00053526562799,0.00125372156469303,0.0234732235782093,201.591938257791,0.38538787872025,-14.1369078445443,1.05402114172313,-1.71981661115506
"Liberia",124.271704770819,0.866536579735044,9.13196185885054,2.81512609977181,-19.6354142121343,0.253380883703612,0.973130487011321,0.000858146463977245,-0.000343556102322608,-75.4860153811106,-1.02656815242671,4.56952364781795,0.748781590427715,-0.0534462646889132
"Madagascar",8.03441964382679,1.14918469984947,1.46610989901982,2.44724557762763,-2.61553669315411,3.3261389067896,0.71716106287613,-0.00511786303782181,0.00779343984470961,-304.244820681742,-0.105720381857325,19.4156037981134,1.12845066572343,0.474447807290515
"Mali",-9.69082910996991,0.159555217100847,13.9227302177461,-0.654816755003555,3.69230765446325,0.59246912646869,0.956230606044736,-0.000847652113459074,-0.00842245063089263,-97.4813572777773,-1.30739944357366,6.63729428103061,-0.747105112614351,1.45408298388451
"Mauritania",429.256015690293,0.991678093173255,-45.9004773783435,14.1337675015656,-58.9199465527557,0.480381501899637,0.949019906593998,0.000195808012947683,0.00793669565479867,898.437462007333,2.56086005075843,-59.3888485559087,7.49001541824564,-11.5777045905618
"Mauritius",23.8476569733549,0.369596227471918,0.285990448765337,-0.346771918748978,2.84240743334487,-0.597934070264927,1.04469754461632,0.0032452074301844,-0.0124891739571194,-32.8230168775959,0.36309706038346,2.80250249214429,1.0604968727679,-0.934375851053776
"Mozambique",-22.0605275077731,-0.843291373822188,75.2399311483547,-5.3052944198987,9.94502161856769,-0.533230607862245,1.11358163532258,0.00769681232150417,-0.163116772425422,43.0872100574782,0.506717452571379,-2.57366721162223,-0.337813768571689,0.151506442039385
"Niger",-446.707809827063,-2.72807834616798,252.279426981138,-23.4202720374304,75.9788643308748,1.35187749305199,0.868621489237134,-0.00188343853528742,0.0381796473439005,611.11056467046,3.70997617651181,-42.4450287924527,3.56313178673035,-5.92840731793377
"Nigeria",737.093189450719,2.29168241777913,13.8723845977923,-3.34353931886157,-90.4717107597781,-0.161134825106398,0.998170489718596,-0.000222722498118695,0.0190900290356428,-132.835408683126,-0.0452106442666578,8.64719766720032,1.53528526463824,-0.802002936708836
"Rwanda",168.168973857349,1.15738488747621,35.3230333201146,-4.23801909605428,-22.9331977177538,-3.35026828597015,1.22524568317284,0.0060766799427198,0.0613712109016614,-23.8361916376809,-1.90226547508179,2.28589546074721,0.119666379606074,0.233808975617412
"South Africa",-33.0731293174498,0.763167113102059,-1.87744271458273,0.0504253672892871,6.50440425859378,6.23822914872096,0.864117149651125,0.00830966944063725,-0.550856320729318,6.73088859345652,0.762633189263739,-0.284884674591532,-0.0290398944921283,0.0100341939502477
"Togo",-54.4374063619678,0.449202479765011,23.930119298388,-4.36626490083449,10.0296993871702,-0.324718558236648,1.01530807352968,-0.000403150238746495,0.0179002688743212,88.88123235996,-0.0167096886191844,-5.59663126525527,-0.0858458864376152,-0.215276781221681
"Zambia",-71.6601535694341,0.148809236530128,6.93737128164873,-0.756302056745398,13.927636111038,1.88243319918049,0.894747687778127,0.00179359561649543,-0.0964972575800528,143.219714851108,4.34318965016646,-10.313367608255,-1.79798431690802,0.815908362556316
"Zimbabwe",-236.574337485991,1.15667131160608,2.75008348634681,-3.18545717495564,32.8905413398756,-0.65185370071898,1.03547418540872,0.002715661051493,0.00723315374613228,530.273985043403,-1.33458184848482,-39.6952111146169,3.07645625330747,-4.06421184903158
